Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Approximative;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Classroom Teaching and Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Autoassociative Memory;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Additive Language;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cross-Cultural Factors in Learning and Motivation;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Configural Cues in Associative Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Attitudes – Formation and Change;1;3;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Concept Similarity;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Analogical Modeling of Language;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive, Motivation, and Emotional Impairment;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conditional Effects;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conceptual Graphs;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Case-Based Reasoning;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive Disequilibrium;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer-Based Education (CBE);1;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Change of Concepts;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Automated Testing;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Connectionism;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Classroom Management and Motivation;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Animation and Learning;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Analogical Models;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Continuous Improvement;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Convergent Thinking and Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Altruistic Behavior and Cognitive Specialization in Animal Communities;3;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Affordance;8;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Asynchronous Learning Networks;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Auditory-Visual Consistency/Consonance;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive Learning;0;7;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Acoustic and Phonological Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Crossmodal Facilitation;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Adaptive Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Content-Area Learning;1;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Abduction;27;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;At-Risk Learners;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conceptual Model of School Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer-Task Paradigm;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Adaptive Instruction Systems and Learning;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Attention Deficit Hyperactivity Disorder;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Case-Based Learning on the Web;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Children´s Critical Assessment of the Reliability of Others;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Anxiety: Nervousness, Disquiet, Fretfulness;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Actualized Affordance;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Curiosity About People;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Action Possibility;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Abductive Reasoning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Audio-Visual Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;ART;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Contradictions in Expansive Learning;1;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer Simulation Model;4;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Classical Conditioning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Covert Articulation;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cone of Experience;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cross-Sectional Research;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Collaborative Learning Environment;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cross-Disciplinary Research on Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conditioned Tolerance;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Ape Language;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Critical Learning Incidents;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Analogy Therapy;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Creativity Program;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Assessing Student Progress in Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Complex Tasks;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Academic Learning Time;5;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Adaptation and Anticipation: Learning from Experience;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Advanced Distributed Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Associative Memory and Learning;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Compressed Curriculum;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Advance Organizer;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer-Supported Cooperative Work;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computer-Assisted Instruction (CAI);2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive and Noncognitive Processes;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conditional Knowledge;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Appearance Effect;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Causal Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Artificial Intelligence in Education;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Confidence Judgments in Learning;2;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Conditioned Stimulus (CS);0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Adaptability and Learning;13;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Academic Fear;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Autonomy;1;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Connectionist Models of Human Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cultural Influences on Human Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Covariation Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cause-Effect Learning Versus Effect-Cause Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Contextual / Context Stimuli;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Changeability;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Abilities and Learning: Physical Abilities;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Computerized Learning Environment;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Artificial Societies;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Accounting and Arithmetic Competence in Animals;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Competence;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Contingency Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Couple and Family Therapy;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Attention Regulation;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Affect Sequencing;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Approaches to Learning and Studying;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Acquired-Drive Experiment;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Application of Family Therapy on Complex Social Issues;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Analysis of Learning Data;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Assimilation Theory of Learning;9;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Artificial intelligence;9;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cybernetic Principles of Learning;0;8;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Absorption;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive Abilities and Skill;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Classification of Levels of Intellectual Behavior in Learning;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Current Concerns;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Animal Culture;0;139;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Anchored Instruction;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cooperation Scripts;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Critical Thinking;7;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Autistic Psychopathy;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Cognitive State;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Creative Thinking;0;0;6;discourse knowledge • move learning • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
tortured;2012;chapter;Springer Nature;Encyclopedia of the Sciences of Learning;Approach-Withdrawal Motivation;0;0;6;brain organization • preparing design • programmed learning • directed learning AND supervised learning • regulated learning AND supervised learning • independent learning AND unsupervised learning;Invitation for human assessors;–
